Combined_Key,Last_Update,Confirmed,Deaths
Gambia,2022-04-11 04:21:02,11990,365
Georgia,2022-04-11 04:21:02,1651470,16771
"Baden-Wurttemberg, Germany",2022-04-11 04:21:02,3213781,15368
"Bayern, Germany",2022-04-11 04:21:02,4305152,22954
"Berlin, Germany",2022-04-11 04:21:02,945480,4407
"Brandenburg, Germany",2022-04-11 04:21:02,716821,5469
"Bremen, Germany",2022-04-11 04:21:02,165683,726
"Hamburg, Germany",2022-04-11 04:21:02,483663,2437
"Hessen, Germany",2022-04-11 04:21:02,1549561,9709
"Mecklenburg-Vorpommern, Germany",2022-04-11 04:21:02,432285,2067
"Niedersachsen, Germany",2022-04-11 04:21:02,1866629,8312
"Nordrhein-Westfalen, Germany",2022-04-11 04:21:02,4527953,24038
"Rheinland-Pfalz, Germany",2022-04-11 04:21:02,964650,5354
"Saarland, Germany",2022-04-11 04:21:02,272007,1566
"Sachsen, Germany",2022-04-11 04:21:02,1387733,14944
"Sachsen-Anhalt, Germany",2022-04-11 04:21:02,642117,5108
"Schleswig-Holstein, Germany",2022-04-11 04:21:02,558010,2340
"Thuringen, Germany",2022-04-11 04:21:02,646461,6929
"Unknown, Germany",2022-03-19 23:20:51,37652,0
Ghana,2022-04-11 04:21:02,161048,1445
Greece,2022-04-11 04:21:02,3173630,28130
Grenada,2022-04-11 04:21:02,14064,219
Guatemala,2022-04-11 04:21:02,835338,17377
Guinea,2022-04-11 04:21:02,36459,440
Guinea-Bissau,2022-04-11 04:21:02,8173,170
Guyana,2022-04-11 04:21:02,63326,1226
Haiti,2022-04-11 04:21:02,30585,835
Holy See,2022-04-11 04:21:02,29,0
Honduras,2022-04-11 04:21:02,421268,10888
Hungary,2022-04-11 04:21:02,1868007,45721
Iceland,2022-04-11 04:21:02,183363,105
"Andaman and Nicobar Islands, India",2022-04-11 04:21:02,10034,129
"Andhra Pradesh, India",2022-04-11 04:21:02,2319612,14730
"Arunachal Pradesh, India",2022-04-11 04:21:02,64489,296
"Assam, India",2022-04-11 04:21:02,724198,6639
"Bihar, India",2022-04-11 04:21:02,830493,12256
"Chandigarh, India",2022-04-11 04:21:02,91941,1165
"Chhattisgarh, India",2022-04-11 04:21:02,1152202,14034
"Dadra and Nagar Haveli and Daman and Diu, India",2022-04-11 04:21:02,11441,4
"Delhi, India",2022-04-11 04:21:02,1866243,26157
"Goa, India",2022-04-11 04:21:02,245344,3832
"Gujarat, India",2022-04-11 04:21:02,1224047,10942
"Haryana, India",2022-04-11 04:21:02,985877,10617
"Himachal Pradesh, India",2022-04-11 04:21:02,284631,4134
"Jammu and Kashmir, India",2022-04-11 04:21:02,453889,4750
"Jharkhand, India",2022-04-11 04:21:02,435164,5315
"Karnataka, India",2022-04-11 04:21:02,3946002,40057
"Kerala, India",2022-04-11 04:21:02,6535927,68365
"Ladakh, India",2022-04-11 04:21:02,28234,228
"Lakshadweep, India",2022-04-11 04:21:02,11402,52
"Madhya Pradesh, India",2022-04-11 04:21:02,1041205,10735
"Maharashtra, India",2022-04-11 04:21:02,7875170,147816
"Manipur, India",2022-04-11 04:21:02,137156,2120
"Meghalaya, India",2022-04-11 04:21:02,93784,1593
"Mizoram, India",2022-04-11 04:21:02,225583,688
"Nagaland, India",2022-04-11 04:21:02,35480,759
"Odisha, India",2022-04-11 04:21:02,1287842,9121
"Puducherry, India",2022-04-11 04:21:02,165774,1962
"Punjab, India",2022-04-11 04:21:02,759201,17742
"Rajasthan, India",2022-04-11 04:21:02,1283101,9552
"Sikkim, India",2022-04-11 04:21:02,39144,452
"Tamil Nadu, India",2022-04-11 04:21:02,3453084,38025
"Telangana, India",2022-04-11 04:21:02,791498,4111
"Tripura, India",2022-04-11 04:21:02,100878,922
"Unknown, India",2022-04-11 04:21:02,0,0
"Uttar Pradesh, India",2022-04-11 04:21:02,2071085,23499
"Uttarakhand, India",2022-04-11 04:21:02,437295,7692
"West Bengal, India",2022-04-11 04:21:02,2017682,21200
Indonesia,2022-04-11 04:21:02,6032707,155626
Iran,2022-04-11 04:21:02,7191643,140616
Iraq,2022-04-11 04:21:02,2321874,25185
Ireland,2022-04-11 04:21:02,1487164,6863
Israel,2022-04-11 04:21:02,3997856,10584
"Abruzzo, Italy",2022-04-11 04:21:02,334543,3133
"Basilicata, Italy",2022-04-11 04:21:02,114079,849
"Calabria, Italy",2022-04-11 04:21:02,319443,2382
"Campania, Italy",2022-04-11 04:21:02,1470509,10103
"Emilia-Romagna, Italy",2022-04-11 04:21:02,1326313,16366
"Friuli Venezia Giulia, Italy",2022-04-11 04:21:02,344871,4942
"Lazio, Italy",2022-04-11 04:21:02,1360683,10855
"Liguria, Italy",2022-04-11 04:21:02,399163,5224
"Lombardia, Italy",2022-04-11 04:21:02,2617945,39461
"Marche, Italy",2022-04-11 04:21:02,410601,3757
"Molise, Italy",2022-04-11 04:21:02,52623,601
